#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals retained) ,,
#institution = NOAA/Laboratory for Satellite Altimetry ,,
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) ,,
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.16 mm/year (no glacial isostatic adjustment correction) ,,
year,Satellite,
1992.9614,-14.68,
1992.9865,-19.28,
1993.0123,-22.08,
1993.0406,-23.38,
1993.0641,-24.68,
1993.0975,-24.98,
1993.1206,-24.48,
1993.1493,-23.78,
1993.1765,-23.98,
1993.2037,-23.58,
1993.2308,-24.38,
1993.2851,-24.68,
1993.3123,-22.28,
1993.3394,-24.08,
1993.3665,-26.18,
1993.3937,-26.08,
1993.4208,-25.88,
1993.448,-24.48,
1993.4741,-22.18,
1993.5023,-22.28,
1993.5294,-22.58,
1993.5837,-22.38,
1993.6117,-20.98,
1993.6381,-17.18,
1993.6652,-15.28,
1993.6924,-16.18,
1993.7189,-16.98,
1993.7466,-13.18,
1993.7738,-7.28,
1993.8009,-8.98,
1993.8553,-11.58,
1993.8824,-13.18,
1993.9097,-13.38,
1993.9367,-11.08,
1993.9638,-7.88,
1993.9907,-11.98,
1994.0181,-17.48,
1994.0452,-15.68,
1994.0723,-14.98,
1994.0995,-19.48,
1994.1267,-21.88,
1994.1538,-20.48,
1994.1809,-17.58,
1994.2353,-16.28,
1994.2624,-17.28,
1994.2896,-17.18,
1994.3168,-18.48,
1994.3439,-20.18,
1994.371,-22.38,
1994.3982,-22.88,
1994.4253,-21.58,
1994.4524,-19.18,
1994.5068,-23.48,
1994.5339,-20.28,
1994.5611,-19.78,
1994.5882,-16.58,
1994.6154,-15.58,
1994.6425,-14.38,
1994.6697,-12.98,
1994.6968,-10.38,
1994.724,-9.08,
1994.751,-6.68,
1994.7781,-5.78,
1994.8054,-4.58,
1994.8325,-3.98,
1994.8869,-7.98,
1994.914,-10.18,
1994.9412,-6.18,
1994.9684,-5.38,
1994.9955,-7.58,
1995.0226,-8.88,
1995.0497,-10.98,
1995.0769,-7.48,
1995.104,-12.18,
1995.1312,-16.38,
1995.1583,-12.98,
1995.2126,-10.48,
1995.2398,-15.98,
1995.2669,-13.88,
1995.2941,-13.18,
1995.3212,-13.88,
1995.3755,-15.58,
1995.4028,-15.38,
1995.4299,-13.48,
1995.457,-14.88,
1995.484,-17.08,
1995.5384,-18.08,
1995.5655,-15.38,
1995.5927,-14.48,
1995.6199,-10.88,
1995.647,-9.88,
1995.674,-8.18,
1995.7013,-2.98,
1995.7285,3.82,
1995.7556,-0.48,
1995.7827,-1.58,
1995.8371,0.42,
1995.8643,-1.28,
1995.89,2.22,
1995.9456,-1.88,
1995.9727,0.02,
1996.0001,-3.28,
1996.0269,-6.88,
1996.0536,-10.38,
1996.0814,-10.78,
1996.1084,-8.78,
1996.1632,-8.38,
1996.1899,-12.28,
1996.216,-11.28,
1996.2443,-10.98,
1996.2714,-12.78,
1996.2986,-12.78,
1996.3257,-11.98,
1996.3529,-8.78,
1996.38,-10.58,
1996.4071,-9.88,
1996.4343,-13.48,
1996.4886,-13.08,
1996.5157,-11.08,
1996.5429,-7.18,
1996.5701,-5.68,
1996.5973,-7.88,
1996.6244,-8.38,
1996.6515,-5.58,
1996.6786,-6.78,
1996.7054,-1.08,
1996.7335,2.52,
1996.76,3.92,
1996.8144,8.12,
1996.8415,10.12,
1996.8687,8.02,
1996.8959,1.52,
1996.923,0.82,
1996.9501,0.12,
1996.977,-3.98,
1997.0044,-3.08,
1997.0316,-1.68,
1997.0587,-5.38,
1997.0858,-6.38,
1997.1402,-6.48,
1997.1673,-5.28,
